,nk,dt,spot,mean,std
0,1.0,5.0,10.0,0.0009051799774169922,8.808546626686291e-05
1,500.0,5.0,10.0,0.002493429183959961,7.089919154811157e-05
2,1000.0,5.0,10.0,0.004145479202270508,5.381770150193619e-05
3,3000.0,5.0,10.0,0.010840320587158203,8.743828383036348e-05
4,6000.0,5.0,10.0,0.02030467987060547,0.00020069854505807297
5,10000.0,5.0,10.0,0.03327069282531738,0.00015375330050317913
6,1.0,1.0,10.0,0.0033437252044677735,0.00022312721397774545
7,500.0,1.0,10.0,0.009078311920166015,0.00014385438159784922
8,1000.0,1.0,10.0,0.0149078369140625,6.44660207213751e-05
9,3000.0,1.0,10.0,0.03887267112731933,0.0022663205545838147
10,6000.0,1.0,10.0,0.07383055686950683,0.0029398247204757977
11,10000.0,1.0,10.0,0.11798572540283203,0.0005467571512144165
12,1.0,0.5,10.0,0.006342935562133789,0.0002336543141218256
13,500.0,0.5,10.0,0.015967893600463866,5.7549997945749475e-05
14,1000.0,0.5,10.0,0.025417566299438477,0.00012001708045924633
15,3000.0,0.5,10.0,0.06370368003845214,4.587004930092798e-05
16,6000.0,0.5,10.0,0.12114458084106446,0.00010988323043794785
17,10000.0,0.5,10.0,0.1968937873840332,0.0006420597833531346
18,1.0,0.2,10.0,0.01562976837158203,0.00010081920842287072
19,500.0,0.2,10.0,0.03679580688476562,5.348370178127299e-05
20,1000.0,0.2,10.0,0.057802581787109376,6.656800434994033e-05
21,3000.0,0.2,10.0,0.14071221351623536,0.0007080453052695507
22,6000.0,0.2,10.0,0.26637630462646483,0.0001230812124479616
23,10000.0,0.2,10.0,0.43795623779296877,0.00227341870297156
24,1.0,5.0,50.0,0.0009609699249267578,0.00021156252870572595
25,500.0,5.0,50.0,0.008360719680786133,2.284074874774201e-05
26,1000.0,5.0,50.0,0.015834951400756837,3.856684168686843e-05
27,3000.0,5.0,50.0,0.04581437110900879,0.0001043039838784965
28,6000.0,5.0,50.0,0.0907677173614502,0.0001338883340782994
29,10000.0,5.0,50.0,0.15035524368286132,0.0001723783540441903
30,1.0,1.0,50.0,0.003244781494140625,0.0002144277691426834
31,500.0,1.0,50.0,0.031205177307128906,7.215524709216638e-05
32,1000.0,1.0,50.0,0.0582390308380127,0.00027430707288868803
33,3000.0,1.0,50.0,0.16673612594604492,0.00021397989772347403
34,6000.0,1.0,50.0,0.33190245628356935,0.007257055707040691
35,10000.0,1.0,50.0,0.5499437332153321,0.0003049083894292913
36,1.0,0.5,50.0,0.0063457489013671875,0.00035234368486853826
37,500.0,0.5,50.0,0.05172643661499023,0.0003314090151658588
38,1000.0,0.5,50.0,0.09754958152770996,0.00013920612200864506
39,3000.0,0.5,50.0,0.282147741317749,0.0004508926531355801
40,6000.0,0.5,50.0,0.5608664512634277,0.001888360617610595
41,10000.0,0.5,50.0,0.9271069049835206,0.004210726576380816
42,1.0,0.2,50.0,0.016114473342895508,5.6598180416705754e-05
43,500.0,0.2,50.0,0.11694402694702148,0.0008600358159470614
44,1000.0,0.2,50.0,0.21910252571105956,0.0003191877771226953
45,3000.0,0.2,50.0,0.6240662574768067,0.0003789726005112472
46,6000.0,0.2,50.0,1.2378926753997803,0.005743777980717804
47,10000.0,0.2,50.0,2.0492919921875,0.011768475594941784
48,1.0,5.0,100.0,0.0008999824523925782,0.00016800499082582002
49,500.0,5.0,100.0,0.015455532073974609,6.814708699867409e-05
50,1000.0,5.0,100.0,0.029923009872436523,0.0001204231827894594
51,3000.0,5.0,100.0,0.08757100105285645,0.0001958180776684905
52,6000.0,5.0,100.0,0.1738454818725586,0.0004361975488172618
53,10000.0,5.0,100.0,0.28968515396118166,0.0010068658692134174
54,1.0,1.0,100.0,0.0033991336822509766,0.00021850190636919103
55,500.0,1.0,100.0,0.05797467231750488,0.00012155023441747724
56,1000.0,1.0,100.0,0.11061587333679199,6.635658081041316e-05
57,3000.0,1.0,100.0,0.31679568290710447,0.0024308455901550043
58,6000.0,1.0,100.0,0.6325116157531738,0.004315454168828671
59,10000.0,1.0,100.0,1.072148847579956,0.004294205222342011
60,1.0,0.5,100.0,0.006398534774780274,0.00023447429559356295
61,500.0,0.5,100.0,0.09440274238586426,0.00041748549829731296
62,1000.0,0.5,100.0,0.18274030685424805,0.0003582842081079516
63,3000.0,0.5,100.0,0.539378547668457,0.0009277440680566856
64,6000.0,0.5,100.0,1.0702806949615478,0.006047860477698405
65,10000.0,0.5,100.0,1.7782612323760987,0.0052082004660071665
66,1.0,0.2,100.0,0.016146087646484376,7.760612279278228e-05
67,500.0,0.2,100.0,0.21269989013671875,0.0008223370968841131
68,1000.0,0.2,100.0,0.4091662406921387,0.004346241882641829
69,3000.0,0.2,100.0,1.192945957183838,0.005441970046605458
70,6000.0,0.2,100.0,2.43687105178833,0.004329078959048403
71,10000.0,0.2,100.0,4.0191868305206295,0.03285842398868924
72,1.0,5.0,300.0,0.0009293079376220704,0.00016825186795779772
73,500.0,5.0,300.0,0.044025087356567384,9.596335665772143e-05
74,1000.0,5.0,300.0,0.08751649856567383,0.0002159101802908457
75,3000.0,5.0,300.0,0.26058015823364256,0.000434786898390083
76,6000.0,5.0,300.0,0.5067265510559082,0.0010322258345244481
77,10000.0,5.0,300.0,0.8470896720886231,0.0012660253077346425
78,1.0,1.0,300.0,0.003486442565917969,0.000264363500416077
79,500.0,1.0,300.0,0.16757946014404296,0.000590874576558129
80,1000.0,1.0,300.0,0.32605390548706054,0.0019883297622352875
81,3000.0,1.0,300.0,0.9625073432922363,0.003488792735038937
82,6000.0,1.0,300.0,1.9175590991973877,0.013540280937789624
83,10000.0,1.0,300.0,3.208469772338867,0.01086411013784963
84,1.0,0.5,300.0,0.0066372394561767575,0.000271276368196117
85,500.0,0.5,300.0,0.2720180988311768,0.0016002391289002822
86,1000.0,0.5,300.0,0.5370498657226562,0.00244391925565284
87,3000.0,0.5,300.0,1.6126643657684325,0.009504860867620082
88,6000.0,0.5,300.0,3.2374598026275634,0.021921475290208575
89,10000.0,0.5,300.0,5.396864128112793,0.015246685822882971
90,1.0,0.2,300.0,0.017076539993286132,4.2985329253931495e-05
91,500.0,0.2,300.0,0.6101458549499512,0.0039444066898154315
92,1000.0,0.2,300.0,1.1888644218444824,0.0018234700981525013
93,3000.0,0.2,300.0,3.534268522262573,0.02392511375638286
94,6000.0,0.2,300.0,7.077119302749634,0.02557300431374196
95,10000.0,0.2,300.0,11.818398904800414,0.10349911054657061
