,nk,dt,mean,std
0,1.0,5.0,0.006011366844177246,0.00010965001092419931
1,500.0,5.0,0.008922576904296875,0.00012271448503647618
2,1000.0,5.0,0.01140139102935791,0.00014948975906223992
3,3000.0,5.0,0.0214968204498291,0.0006995135435720492
4,6000.0,5.0,0.03708562850952148,0.0011982617182818755
5,10000.0,5.0,0.05690984725952149,0.0011773931888638231
6,1.0,1.0,0.008812499046325684,0.00014917441248633913
7,500.0,1.0,0.020569038391113282,0.000513062244248315
8,1000.0,1.0,0.032704281806945804,0.0007535185457011371
9,3000.0,1.0,0.07150568962097167,0.0015556098702386918
10,6000.0,1.0,0.12033565044403076,0.006954415356453659
11,10000.0,1.0,0.13683123588562013,0.025299228388015346
12,1.0,0.5,0.011828231811523437,0.00010707509779649517
13,500.0,0.5,0.03534650802612305,0.000983133215620642
14,1000.0,0.5,0.05697352886199951,0.0015036736762416634
15,3000.0,0.5,0.12247302532196044,0.012379544156298125
16,6000.0,0.5,0.15542714595794677,0.015744261043602194
17,10000.0,0.5,0.2461524248123169,0.011345968456019677
18,1.0,0.2,0.024254846572875976,0.0026821490891438043
19,500.0,0.2,0.08007800579071045,0.0015759392486036049
20,1000.0,0.2,0.1172537088394165,0.00962063460996218
21,3000.0,0.2,0.21343843936920165,0.014401838649266826
22,6000.0,0.2,0.3811750888824463,0.02265607013048836
23,10000.0,0.2,0.6475499868392944,0.0355190072117483
24,1.0,0.1,0.04011709690093994,0.00076133784963526
25,500.0,0.1,0.14703524112701416,0.006400976464672968
26,1000.0,0.1,0.18079714775085448,0.013088246920599159
27,3000.0,0.1,0.43631863594055176,0.02119811351653111
28,6000.0,0.1,0.7462754249572754,0.050011647154832764
29,10000.0,0.1,1.1880704164505005,0.041213490534866455
