,nk,dt,mean,std
0,1.0,5.0,0.003187108039855957,0.00044265131451857786
1,500.0,5.0,0.0029650449752807615,0.000169770638116721
2,1000.0,5.0,0.0029608964920043944,8.047045237659115e-05
3,3000.0,5.0,0.0030287504196166992,0.00011617935780906342
4,6000.0,5.0,0.0033007383346557615,0.00016678340071642344
5,10000.0,5.0,0.0037270784378051758,0.00017435745648692474
6,1.0,1.0,0.003047537803649902,0.0002928468542916024
7,500.0,1.0,0.0030252933502197266,0.00014123973775486586
8,1000.0,1.0,0.0032189130783081056,0.00015506985037567962
9,3000.0,1.0,0.004188108444213867,0.00010372522424321368
10,6000.0,1.0,0.006603813171386719,0.0003422530583346443
11,10000.0,1.0,0.009724593162536621,0.0004842439985329518
12,1.0,0.5,0.003092527389526367,0.00019623002010322872
13,500.0,0.5,0.0032837629318237306,0.00010576455896348125
14,1000.0,0.5,0.0038614988327026365,0.00010415689131060687
15,3000.0,0.5,0.006402134895324707,0.00018362609074855854
16,6000.0,0.5,0.011410093307495118,0.0004174584076950931
17,10000.0,0.5,0.017917823791503907,0.00019931168067291092
18,1.0,0.2,0.003152632713317871,0.0002487676968932396
19,500.0,0.2,0.004252839088439942,9.135894145606053e-05
20,1000.0,0.2,0.005941867828369141,7.685943484259476e-05
21,3000.0,0.2,0.01340341567993164,0.0004942039087928566
22,6000.0,0.2,0.026897597312927245,0.001177420525348786
23,10000.0,0.2,0.04411990642547607,0.0005779770225845332
24,1.0,0.1,0.003247690200805664,0.0002707132005874238
25,500.0,0.1,0.006394004821777344,0.00010558666039483501
26,1000.0,0.1,0.010631537437438965,0.0003279115988756483
27,3000.0,0.1,0.027774333953857422,0.0007767906355364106
28,6000.0,0.1,0.05543212890625,0.0019337203938695783
29,10000.0,0.1,0.105476975440979,0.0012760673938657725
